2.7165,2.1790,1.8249,1.6122,1.4879,1.0270,1.0886,0.8326,1.2647,1.3656,1.2434,0.9798,0.9936,1.0588,0.6658,0.6815,-0.0431,0.6402,0.5717,0.9294,0.7708,0.7102,0.9432,0.9993,0.8083,0.3338,0.5009,0.3403,0.6945,0.6589,0.6837,0.6767,0.5882,
2.1759,1.8229,1.7423,1.6981,1.6874,1.0693,1.5924,0.8864,1.3832,1.4371,1.0769,1.3243,1.2860,1.2770,0.9704,1.0447,1.3433,1.0048,0.8552,1.1043,1.0640,1.0561,0.7579,1.0655,0.9642,0.3747,0.9968,0.3924,0.8856,0.7497,0.6223,0.3423,0.0537,
2.5842,2.0141,1.4631,1.5693,1.6569,1.3549,1.7317,1.1102,1.4164,1.3523,1.3991,1.5549,1.2806,1.0285,1.3521,0.5794,0.9211,0.5123,1.2639,0.8849,1.0594,1.3143,1.0870,0.9857,0.9931,0.6276,1.1325,0.6654,0.8355,0.6282,0.3089,0.4614,0.4138,
2.0760,1.7168,1.7255,1.6416,1.4979,1.5316,1.3121,1.0383,1.0742,0.7629,0.1640,0.8033,0.5749,0.6204,0.9964,0.7629,0.7087,0.7211,0.9013,0.4465,0.3580,0.5694,-0.1401,0.3960,0.6500,0.5335,0.7005,0.8450,0.7036,0.6773,0.6032,0.2382,-0.0542,
2.7662,2.0794,1.8780,1.5483,1.6815,1.3993,1.4308,0.6709,1.0494,1.2490,1.0725,1.0758,1.0912,1.1052,0.7306,0.9682,-0.0372,0.9160,0.6439,0.9788,0.9036,0.8201,0.7581,0.8696,0.6266,0.1501,0.8394,0.7102,0.8758,0.6144,0.7214,0.5448,0.6302,
2.1064,1.6621,2.0250,1.7557,1.6760,1.5197,1.5001,1.3376,1.2604,0.8164,0.8999,0.3752,0.5093,1.3587,0.5696,1.3267,0.2652,1.2866,0.4547,1.2105,0.3119,0.1270,0.6017,0.4410,0.7997,0.8103,0.9318,0.8294,0.8694,0.8002,0.8785,0.1404,-0.0316,
2.4797,1.4455,1.7892,0.9871,1.3279,0.7620,1.5560,1.2980,1.0323,1.0237,1.2038,1.0238,1.1303,1.0128,1.2719,1.6557,1.7313,1.6046,1.1523,0.8597,0.9597,0.7607,0.9001,0.6553,0.6154,0.7567,0.9752,0.0798,0.5139,0.0078,0.6485,-0.1829,0.3327,
1.9269,0.6118,1.3971,0.7384,1.3762,0.8536,1.0016,1.0501,0.7650,0.7258,0.7968,0.9185,1.0677,0.5135,1.0665,0.3825,0.2376,0.3356,0.9836,0.3629,0.8721,0.6581,0.4944,0.3632,0.3460,0.5582,0.3906,0.1506,0.5880,-0.1872,0.2512,-0.6818,-0.2723,
2.7265,2.1936,1.7738,1.4208,1.6479,1.2617,0.6362,1.4596,1.3355,0.9971,1.2844,1.3224,0.5215,1.0663,0.1690,0.7485,1.0795,0.7024,0.0726,0.9420,0.3258,1.0545,0.9704,0.6310,0.8982,0.9739,0.0207,0.5741,0.8202,0.4589,0.6313,0.6768,0.5769,
2.3433,1.4197,1.6883,1.2619,1.7264,1.5420,1.4684,1.3243,1.6228,1.4515,1.0353,0.7772,1.1729,1.1945,1.2197,1.3001,0.1976,1.2400,1.1060,1.0454,0.9887,0.5417,0.7209,1.0859,1.1634,0.7930,0.8987,0.8531,0.9505,0.3125,0.5361,-0.1572,0.1839,
2.5022,2.0195,1.9251,1.7550,0.2079,0.9753,1.0435,1.3723,1.1029,0.4753,1.1845,1.4484,1.4073,1.1885,0.9956,1.4522,1.4481,1.4131,0.8953,1.0403,1.2123,1.2046,0.8836,0.0931,0.6745,0.8639,0.4428,0.2887,-0.6073,0.7993,0.7637,0.4904,0.3729,
