4.5049,4.1161,3.1935,3.1532,3.416,2.8188,1.7918,3.2183,3.1722,2.7235,1.6075,2.8217,2.8563,2.6392,0.0298,2.9761,1.6699,2.8921,-0.3642,2.3499,2.5618,2.418,1.0806,2.1445,2.4407,2.3778,0.9126,1.7274,2.1706,1.6633,1.3415,1.8056,1.1612
3.9193,4.5391,3.8709,3.2307,3.7371,3.7162,2.3273,3.3835,3.0635,2.2282,2.4953,2.7151,2.1923,2.6082,2.7444,1.8767,2.882,1.7825,2.6106,2.3392,1.8665,2.2951,2.0308,1.6337,2.3467,2.6113,1.3409,2.6324,2.4336,1.7225,2.1048,2.2374,0.647
5.4856,5.1768,4.4238,3.9701,4.036,3.6719,3.1367,3.8297,3.7445,3.5211,3.4385,3.2714,3.4234,2.8734,2.6738,3.0437,3.2459,2.952,2.5007,2.6665,3.1372,2.8547,2.9529,2.931,3.0176,3.02,2.1961,2.5815,2.7885,2.4819,2.6471,2.8266,2.1371
3.5249,3.9268,3.2133,3.1177,3.3027,3.2291,3.0694,3.2586,3.371,2.9559,2.8857,2.2381,1.6149,2.666,1.061,2.4278,-0.5673,2.3468,0.8959,2.3861,1.2737,1.8143,2.3893,2.3645,2.6995,2.4396,2.143,2.1458,2.0547,1.6366,1.3421,1.6169,0.1505
4.0124,3.904,3.5682,3.1705,3.3327,3.2923,2.687,2.1415,3.0807,2.3274,1.9003,2.2936,2.8526,3.121,2.5489,3.0666,2.4462,2.9741,2.3681,2.8623,2.5522,1.8886,1.4312,1.7492,2.3608,1.2895,1.7226,2.2055,2.1003,1.6534,1.7443,1.5847,0.5883
4.4186,3.9302,2.0309,2.5653,1.4828,3.4567,3.4927,2.5574,3.1136,2.9401,2.6862,2.2639,2.3125,2.7344,2.862,2.9754,2.8569,2.8909,2.7239,2.4955,2.0137,1.8574,2.1822,2.3501,2.3922,1.7331,2.5961,2.3718,0.1427,1.0725,0.1994,1.6,1.092
4.5085,2.3894,3.0343,3.4351,3.5062,3.1144,2.8015,2.8448,2.3129,3.122,2.8403,3.1143,2.3409,2.1114,2.6706,2.1245,3.0299,2.0443,2.4867,1.8269,2.0577,2.7096,2.3418,2.5232,1.6326,2.0665,1.8518,2.0176,2.2431,1.9543,1.2249,-0.1632,1.0813
3.6107,4.2638,3.8039,3.4061,3.2904,3.405,2.7356,2.6591,3.0808,3.362,3.1061,2.7375,1.8116,2.6562,2.733,2.3568,2.9261,2.2892,2.5972,2.3711,1.5385,2.3242,2.629,2.7794,2.3735,1.8017,1.7893,2.3192,2.0535,1.9163,1.9931,1.9045,0.1781
4.6648,4.568,3.7422,2.8956,3.5356,3.2441,2.7888,2.8578,2.8074,3.0389,2.7258,2.1978,1.8822,2.4395,1.9674,2.5807,2.7421,2.491,1.7884,2.2222,1.5843,1.7891,2.2191,2.4442,2.142,2.0952,1.8287,2.1635,2.2744,1.4439,1.8795,2.2415,1.2997
4.714,3.6232,2.1806,2.9623,3.1709,2.9813,3.1929,2.6986,2.6076,2.1946,2.2354,1.8665,1.2069,1.6491,2.48,2.3942,2.9629,2.3292,2.3214,1.4087,0.8993,1.4902,1.7388,1.611,1.882,1.8617,2.2243,1.8957,1.8623,1.5184,0.4377,1.2547,1.3281
